ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source
Cs-11-116,Cs,11,−,,,Norman2003
Sf-11-117,Sf,11,−,,,Norman2003
Nc-11-118,Nc,11,−,,,Norman2003
Mx-11-119,Mx,11,−,,,Norman2003
Gz-11-120,Gz,11,−,,,Norman2003
Jy-11-121,Jy,11,−,,,Norman2003
Bj-12-122,Bj,12,+,,,Norman2003
Ty-12-123,Ty,12,+,,,Norman2003
Yz-12-124,Yz,12,+,,,Norman2003
Sz-12-125,Sz,12,−,,,Norman2003
Wz-12-126,Wz,12,−,,,Norman2003
Cs-12-127,Cs,12,±,,,Norman2003
Sf-12-128,Sf,12,−,,,Norman2003
Nc-12-129,Nc,12,−,,,Norman2003
Mx-12-130,Mx,12,−,,,Norman2003
Gz-12-131,Gz,12,−,,,Norman2003
Jy-12-132,Jy,12,−,,,Norman2003
Bj-13-133,Bj,13,+,,,Norman2003
Ty-13-134,Ty,13,+,,,Norman2003
Yz-13-135,Yz,13,+,,,Norman2003
Sz-13-136,Sz,13,−,,,Norman2003
Wz-13-137,Wz,13,−,,,Norman2003
Cs-13-138,Cs,13,−,,,Norman2003
Sf-13-139,Sf,13,−,,,Norman2003
Nc-13-140,Nc,13,−,,,Norman2003
Mx-13-141,Mx,13,−,,,Norman2003
Gz-13-142,Gz,13,−,,,Norman2003
Jy-13-143,Jy,13,−,,,Norman2003
Bj-14-144,Bj,14,+,,,Norman2003
Ty-14-145,Ty,14,+,,,Norman2003
Yz-14-146,Yz,14,+,,,Norman2003
Sz-14-147,Sz,14,±,,,Norman2003
Wz-14-148,Wz,14,±,,,Norman2003
Cs-14-149,Cs,14,+,,,Norman2003
Sf-14-150,Sf,14,−,,,Norman2003
Nc-14-151,Nc,14,+,,,Norman2003
Mx-14-152,Mx,14,−,,,Norman2003
Gz-14-153,Gz,14,−,,,Norman2003
Jy-14-154,Jy,14,−,,,Norman2003
Bj-15-155,Bj,15,+,,,Norman2003
Ty-15-156,Ty,15,+,,,Norman2003
Yz-15-157,Yz,15,+,,,Norman2003
Sz-15-158,Sz,15,+,,,Norman2003
Wz-15-159,Wz,15,±,,,Norman2003
Cs-15-160,Cs,15,−,,,Norman2003
Sf-15-161,Sf,15,−,,,Norman2003
Nc-15-162,Nc,15,−,,,Norman2003
Mx-15-163,Mx,15,−,,,Norman2003
Gz-15-164,Gz,15,−,,,Norman2003
Jy-15-165,Jy,15,−,,,Norman2003
