ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan
Guangzhou-3_chicken-1,,Guangzhou,3_chicken,kɐi¹,kɐi¹,k ɐi ¹,,Norman2003,,
Jiangyong-3_chicken-1,,Jiangyong,3_chicken,tɕi¹,tɕi¹,tɕ i ¹,,Norman2003,,
Heping-3_chicken-1,,Heping,3_chicken,kei¹,kei¹,k ei ¹,,Norman2003,,
Zhenqian-3_chicken-1,,Zhenqian,3_chicken,kai¹,kai¹,k ai ¹,,Norman2003,,
Jianchuan-3_chicken-1,,Jianchuan,3_chicken,ke¹,ke¹,k e ¹,,Norman2003,,
Jiangshan-3_chicken-1,,Jiangshan,3_chicken,iε¹,iε¹,i/j ε ¹,,Norman2003,,
Common_Chinese-7_come-1,,Common_Chinese,7_come,*loi²,*loi²,l oi ²,,Norman2003,,
Beijing-7_come-1,,Beijing,7_come,lai²,lai²,l ai ²,,Norman2003,,
Suzhou-7_come-1,,Suzhou,7_come,le²,le²,l e ²,,Norman2003,,
Nanchang-7_come-1,,Nanchang,7_come,lai²,lai²,l ai ²,,Norman2003,,
Meixian-7_come-1,,Meixian,7_come,loi²,loi²,l oi ²,,Norman2003,,
Guangzhou-7_come-1,,Guangzhou,7_come,lɐi²,lɐi²,l ɐi ²,,Norman2003,,
Jiangyong-7_come-1,,Jiangyong,7_come,lø²,lø²,l ø ²,,Norman2003,,
Heping-7_come-1,,Heping,7_come,li²,li²,l i ²,,Norman2003,,
Zhenqian-7_come-1,,Zhenqian,7_come,lœ²,lœ²,l œ ²,,Norman2003,,
Jianchuan-7_come-1,,Jianchuan,7_come,ɣɯ⁴,ɣɯ⁴,ɣ ɯ ⁴,,Norman2003,,
Jiangshan-7_come-1,,Jiangshan,7_come,li²,li²,l i ²,,Norman2003,,
Common_Chinese-9_cow-1,,Common_Chinese,9_cow,*ŋiou²,*ŋiou²,ŋ i/j ou ²,,Norman2003,,
Beijing-9_cow-1,,Beijing,9_cow,niu²,niu²,n i/j u ²,,Norman2003,,
Suzhou-9_cow-1,,Suzhou,9_cow,nʏ²,nʏ²,n ʏ ²,,Norman2003,,
Nanchang-9_cow-1,,Nanchang,9_cow,niu ²,niu ²,n i/j u + ²,,Norman2003,,
Meixian-9_cow-1,,Meixian,9_cow,niu²,niu²,n i/j u ²,,Norman2003,,
Guangzhou-9_cow-1,,Guangzhou,9_cow,ŋɐu²,ŋɐu²,ŋ ɐu ²,,Norman2003,,
Jiangyong-9_cow-1,,Jiangyong,9_cow,ŋou²,ŋou²,ŋ ou ²,,Norman2003,,
Heping-9_cow-1,,Heping,9_cow,ny²,ny²,n y ²,,Norman2003,,
Zhenqian-9_cow-1,,Zhenqian,9_cow,niu²,niu²,n i/j u ²,,Norman2003,,
Jianchuan-9_cow-1,,Jianchuan,9_cow,ŋɯ⁸,ŋɯ⁸,ŋ ɯ ⁸/³³,,Norman2003,,
Jiangshan-9_cow-1,,Jiangshan,9_cow,ŋɯə²,ŋɯə²,ŋ ɯə ²,,Norman2003,,
Common_Chinese-5_deep-1,,Common_Chinese,5_deep,*shim¹,*shim¹,ʂ i m ¹,,Norman2003,,
Beijing-5_deep-1,,Beijing,5_deep,ʂən¹,ʂən¹,ʂ ə n ¹,,Norman2003,,
Suzhou-5_deep-1,,Suzhou,5_deep,sən¹,sən¹,s ə n ¹,,Norman2003,,
Nanchang-5_deep-1,,Nanchang,5_deep,sən¹,sən¹,s ə n ¹,,Norman2003,,
Meixian-5_deep-1,,Meixian,5_deep,tsʰəm¹,tsʰəm¹,tsʰ ə m ¹,,Norman2003,,
Guangzhou-5_deep-1,,Guangzhou,5_deep,sɐm¹,sɐm¹,s ɐ m ¹,,Norman2003,,
Jiangyong-5_deep-1,,Jiangyong,5_deep,ie¹,ie¹,i/j e ¹,,Norman2003,,
Heping-5_deep-1,,Heping,5_deep,tɕʰim¹,tɕʰim¹,tɕʰ i m ¹,,Norman2003,,
Zhenqian-5_deep-1,,Zhenqian,5_deep,tsʰeŋ¹,tsʰeŋ¹,tsʰ e ŋ ¹,,Norman2003,,
Jianchuan-5_deep-1,,Jianchuan,5_deep,sɛ̃¹,sɛ̃¹,s ɛ̃ ¹,,Norman2003,,
Jiangshan-5_deep-1,,Jiangshan,5_deep,tsʰøn¹,tsʰøn¹,tsʰ ø n ¹,,Norman2003,,
Common_Chinese-14_early-1,,Common_Chinese,14_early,*tsou³,*tsou³,ts ou ³,,Norman2003,,
Beijing-14_early-1,,Beijing,14_early,tsau³,tsau³,ts au ³,,Norman2003,,
Suzhou-14_early-1,,Suzhou,14_early,tsæ³,tsæ³,ts æ ³,,Norman2003,,
Nanchang-14_early-1,,Nanchang,14_early,tsau³,tsau³,ts au ³,,Norman2003,,
Meixian-14_early-1,,Meixian,14_early,tsau³,tsau³,ts au ³,,Norman2003,,
Guangzhou-14_early-1,,Guangzhou,14_early,tsou³,tsou³,ts ou ³,,Norman2003,,
Jiangyong-14_early-1,,Jiangyong,14_early,tsau³,tsau³,ts au ³,,Norman2003,,
Heping-14_early-1,,Heping,14_early,tʰoʔ⁴,tʰoʔ⁴,tʰ o ʔ ⁴,,Norman2003,,
Zhenqian-14_early-1,,Zhenqian,14_early,tso³,tso³,ts o ³,,Norman2003,,
Jianchuan-14_early-1,,Jianchuan,14_early,tsu¹,tsu¹,ts u ¹,,Norman2003,,
Jiangshan-14_early-1,,Jiangshan,14_early,tsiau³,tsiau³,ts i/j au ³,,Norman2003,,
Common_Chinese-12_fire-1,,Common_Chinese,12_fire,*huo³,*huo³,h u/w o ³,,Norman2003,,
Beijing-12_fire-1,,Beijing,12_fire,xuo³,xuo³,x u/w o ³,,Norman2003,,
Suzhou-12_fire-1,,Suzhou,12_fire,həu³,həu³,h əu ³,,Norman2003,,
Nanchang-12_fire-1,,Nanchang,12_fire,fo³,fo³,f o ³,,Norman2003,,
Meixian-12_fire-1,,Meixian,12_fire,fo³,fo³,f o ³,,Norman2003,,
Guangzhou-12_fire-1,,Guangzhou,12_fire,fo³,fo³,f o ³,,Norman2003,,
Jiangyong-12_fire-1,,Jiangyong,12_fire,fu³,fu³,f u ³,,Norman2003,,
Heping-12_fire-1,,Heping,12_fire,kʰuei³,kʰuei³,kʰ u/w ei ³,,Norman2003,,
Zhenqian-12_fire-1,,Zhenqian,12_fire,hue³,hue³,h u/w e ³,,Norman2003,,
Jianchuan-12_fire-1,,Jianchuan,12_fire,xui¹,xui¹,x u/w i ¹,,Norman2003,,
Jiangshan-12_fire-1,,Jiangshan,12_fire,xuei³,xuei³,x u/w ei ³,,Norman2003,,
Common_Chinese-8_flow-1,,Common_Chinese,8_flow,*liou²,*liou²,l i/j ou ²,,Norman2003,,
Beijing-8_flow-1,,Beijing,8_flow,liu²,liu²,l i/j u ²,,Norman2003,,
Suzhou-8_flow-1,,Suzhou,8_flow,lʏ²,lʏ²,l ʏ ²,,Norman2003,,
Nanchang-8_flow-1,,Nanchang,8_flow,liu²,liu²,l i/j u ²,,Norman2003,,
Meixian-8_flow-1,,Meixian,8_flow,liu²,liu²,l i/j u ²,,Norman2003,,
Guangzhou-8_flow-1,,Guangzhou,8_flow,lɐu²,lɐu²,l ɐu ²,,Norman2003,,
Jiangyong-8_flow-1,,Jiangyong,8_flow,liou²,liou²,l i/j ou ²,,Norman2003,,
Heping-8_flow-1,,Heping,8_flow,liu²,liu²,l i/j u ²,,Norman2003,,
Zhenqian-8_flow-1,,Zhenqian,8_flow,lo²,lo²,l o ²,,Norman2003,,
Jianchuan-8_flow-1,,Jianchuan,8_flow,kɯ⁸,kɯ⁸,k ɯ ⁸/³³,,Norman2003,,
Jiangshan-8_flow-1,,Jiangshan,8_flow,lu²,lu²,l u ²,,Norman2003,,
Common_Chinese-23_four-1,,Common_Chinese,23_four,*si⁵,*si⁵,s i ⁵,,Norman2003,,
Beijing-23_four-1,,Beijing,23_four,sɿ⁵,sɿ⁵,s ɿ ⁵,,Norman2003,,
Suzhou-23_four-1,,Suzhou,23_four,sɿ⁵,sɿ⁵,s ɿ ⁵,,Norman2003,,
Nanchang-23_four-1,,Nanchang,23_four,sɿ⁵,sɿ⁵,s ɿ ⁵,,Norman2003,,
Meixian-23_four-1,,Meixian,23_four,si⁵,si⁵,s i ⁵,,Norman2003,,
Guangzhou-23_four-1,,Guangzhou,23_four,sei⁵,sei⁵,s ei ⁵,,Norman2003,,
Jiangyong-23_four-1,,Jiangyong,23_four,sa⁵,sa⁵,s a ⁵,,Norman2003,,
Heping-23_four-1,,Heping,23_four,si⁵,si⁵,s i ⁵,,Norman2003,,
Zhenqian-23_four-1,,Zhenqian,23_four,si⁵,si⁵,s i ⁵,,Norman2003,,
Jianchuan-23_four-1,,Jianchuan,23_four,ɕi⁵,ɕi⁵,ɕ i ⁵,,Norman2003,,
Jiangshan-23_four-1,,Jiangshan,23_four,si⁵,si⁵,s i ⁵,,Norman2003,,
Common_Chinese-21_go-1,,Common_Chinese,21_go,*khie⁵,*khie⁵,kʰ i/j e ⁵,,Norman2003,,
Beijing-21_go-1,,Beijing,21_go,tɕʰy⁵,tɕʰy⁵,tɕʰ y ⁵,,Norman2003,,
Suzhou-21_go-1,,Suzhou,21_go,tɕʰi⁵,tɕʰi⁵,tɕʰ i ⁵,,Norman2003,,
Nanchang-21_go-1,,Nanchang,21_go,tɕʰiε⁵,tɕʰiε⁵,tɕʰ i/j ε ⁵,,Norman2003,,
Meixian-21_go-1,,Meixian,21_go,hi⁵,hi⁵,h i ⁵,,Norman2003,,
Guangzhou-21_go-1,,Guangzhou,21_go,hœy⁵,hœy⁵,h œy ⁵,,Norman2003,,
Jiangyong-21_go-1,,Jiangyong,21_go,hu⁵,hu⁵,h u ⁵,,Norman2003,,
Heping-21_go-1,,Heping,21_go,kʰo⁵,kʰo⁵,kʰ o ⁵,,Norman2003,,
Zhenqian-21_go-1,,Zhenqian,21_go,kʰo⁵,kʰo⁵,kʰ o ⁵,,Norman2003,,
Jianchuan-21_go-1,,Jianchuan,21_go,ŋε⁸,ŋε⁸,ŋ ε ⁸/³³,,Norman2003,,
Jiangshan-21_go-1,,Jiangshan,21_go,kʰɯə⁵,kʰɯə⁵,kʰ ɯə ⁵,,Norman2003,,
Common_Chinese-17_godown-1,,Common_Chinese,17_godown,*hha⁴,*hha⁴,ɦ a ⁴,,Norman2003,,
Beijing-17_godown-1,,Beijing,17_godown,ɕia⁴,ɕia⁴,ɕ i/j a ⁴,,Norman2003,,
Suzhou-17_godown-1,,Suzhou,17_godown,ɦo⁶,ɦo⁶,ɦ o ⁶/¹¹,,Norman2003,,
Nanchang-17_godown-1,,Nanchang,17_godown,ha⁶,ha⁶,h a ⁶/¹¹,,Norman2003,,
Meixian-17_godown-1,,Meixian,17_godown,ha¹,ha¹,h a ¹,,Norman2003,,
Guangzhou-17_godown-1,,Guangzhou,17_godown,ha⁴,ha⁴,h a ⁴,,Norman2003,,
Jiangyong-17_godown-1,,Jiangyong,17_godown,fɯə⁴,fɯə⁴,f ɯə ⁴,,Norman2003,,
Heping-17_godown-1,,Heping,17_godown,haʔ⁴,haʔ⁴,h a ʔ ⁴,,Norman2003,,
Zhenqian-17_godown-1,,Zhenqian,17_godown,ha⁵,ha⁵,h a ⁵,,Norman2003,,
Jianchuan-17_godown-1,,Jianchuan,17_godown,tʰɯ²,tʰɯ²,tʰ ɯ ²,,Norman2003,,
Jiangshan-17_godown-1,,Jiangshan,17_godown,ɔ⁴,ɔ⁴,ɔ ⁴,,Norman2003,,
Common_Chinese-34_goout-1,,Common_Chinese,34_goout,*chiut⁷,*chiut⁷,ʈʂʰ i/j u t ⁷/²²,,Norman2003,,
Beijing-34_goout-1,,Beijing,34_goout,tʂʰu¹,tʂʰu¹,ʈʂʰ u ¹,,Norman2003,,
Suzhou-34_goout-1,,Suzhou,34_goout,tsʰɤʔ⁷,tsʰɤʔ⁷,tsʰ ɤ ʔ ⁷/²²,,Norman2003,,
Nanchang-34_goout-1,,Nanchang,34_goout,tsʰət⁷,tsʰət⁷,tsʰ ə t ⁷/²²,,Norman2003,,
Meixian-34_goout-1,,Meixian,34_goout,tsʰut⁷,tsʰut⁷,tsʰ u t ⁷/²²,,Norman2003,,
Guangzhou-34_goout-1,,Guangzhou,34_goout,tsʰɔt⁷,tsʰɔt⁷,tsʰ ɔ t ⁷/²²,,Norman2003,,
Jiangyong-34_goout-1,,Jiangyong,34_goout,ɕya⁷,ɕya⁷,ɕ y/ɥ a ⁷/²²,,Norman2003,,
Heping-34_goout-1,,Heping,34_goout,tsʰui⁷,tsʰui⁷,tsʰ u/w i ⁷/²²,,Norman2003,,
Zhenqian-34_goout-1,,Zhenqian,34_goout,tsʰue³,tsʰue³,tsʰ u/w e ³,,Norman2003,,
Jianchuan-34_goout-1,,Jianchuan,34_goout,tɕʰi⁴,tɕʰi⁴,tɕʰ i ⁴,,Norman2003,,
Jiangshan-34_goout-1,,Jiangshan,34_goout,tɕʰyεʔ⁷,tɕʰyεʔ⁷,tɕʰ y/ɥ ε ʔ ⁷/²²,,Norman2003,,
Common_Chinese-27_graph-1,,Common_Chinese,27_graph,*dzi⁶,*dzi⁶,d z i ⁶/¹¹,,Norman2003,,
Beijing-27_graph-1,,Beijing,27_graph,tsɿ⁵,tsɿ⁵,ts ɿ ⁵,,Norman2003,,
Suzhou-27_graph-1,,Suzhou,27_graph,zɿ⁵,zɿ⁵,z ɿ ⁵,,Norman2003,,
Nanchang-27_graph-1,,Nanchang,27_graph,tsʰɿ⁶,tsʰɿ⁶,tsʰ ɿ ⁶/¹¹,,Norman2003,,
Meixian-27_graph-1,,Meixian,27_graph,sɿ⁵,sɿ⁵,s ɿ ⁵,,Norman2003,,
Guangzhou-27_graph-1,,Guangzhou,27_graph,tsi⁶,tsi⁶,ts i ⁶/¹¹,,Norman2003,,
Jiangyong-27_graph-1,,Jiangyong,27_graph,tsɯə ⁶,tsɯə ⁶,ts ɯə + ⁶/¹¹,,Norman2003,,
Heping-27_graph-1,,Heping,27_graph,tʰe⁶,tʰe⁶,tʰ e ⁶/¹¹,,Norman2003,,
Zhenqian-27_graph-1,,Zhenqian,27_graph,tsi⁹,tsi⁹,ts i ⁹/⁴⁴,,Norman2003,,
Jianchuan-27_graph-1,,Jianchuan,27_graph,tsɯ³,tsɯ³,ts ɯ ³,,Norman2003,,
Jiangshan-27_graph-1,,Jiangshan,27_graph,dzɯə⁶,dzɯə⁶,d z ɯə ⁶/¹¹,,Norman2003,,
Common_Chinese-24_half-1,,Common_Chinese,24_half,*pon⁵,*pon⁵,p o n ⁵,,Norman2003,,
Beijing-24_half-1,,Beijing,24_half,pan⁵,pan⁵,p a n ⁵,,Norman2003,,
Suzhou-24_half-1,,Suzhou,24_half,pø⁵,pø⁵,p ø ⁵,,Norman2003,,
Nanchang-24_half-1,,Nanchang,24_half,pon⁵,pon⁵,p o n ⁵,,Norman2003,,
Meixian-24_half-1,,Meixian,24_half,pan⁴,pan⁴,p a n ⁴,,Norman2003,,
Guangzhou-24_half-1,,Guangzhou,24_half,pun⁵,pun⁵,p u n ⁵,,Norman2003,,
Jiangyong-24_half-1,,Jiangyong,24_half,paŋ⁵,paŋ⁵,p a ŋ ⁵,,Norman2003,,
Heping-24_half-1,,Heping,24_half,pon⁵,pon⁵,p o n ⁵,,Norman2003,,
Zhenqian-24_half-1,,Zhenqian,24_half,puaiŋ⁵,puaiŋ⁵,p u/w ai ŋ ⁵,,Norman2003,,
Jianchuan-24_half-1,,Jianchuan,24_half,po⁸,po⁸,p o ⁸/³³,,Norman2003,,
Jiangshan-24_half-1,,Jiangshan,24_half,piεn⁵,piεn⁵,p i/j ε n ⁵,,Norman2003,,
Common_Chinese-13_hand-1,,Common_Chinese,13_hand,*shiou³,*shiou³,ʂ i/j ou ³,,Norman2003,,
Beijing-13_hand-1,,Beijing,13_hand,ʂou³,ʂou³,ʂ ou ³,,Norman2003,,
Suzhou-13_hand-1,,Suzhou,13_hand,sʏ³,sʏ³,s ʏ ³,,Norman2003,,
Nanchang-13_hand-1,,Nanchang,13_hand,səu³,səu³,s əu ³,,Norman2003,,
Meixian-13_hand-1,,Meixian,13_hand,su³,su³,s u ³,,Norman2003,,
Guangzhou-13_hand-1,,Guangzhou,13_hand,sɐu³,sɐu³,s ɐu ³,,Norman2003,,
Jiangyong-13_hand-1,,Jiangyong,13_hand,ɕiou³,ɕiou³,ɕ i/j ou ³,,Norman2003,,
Heping-13_hand-1,,Heping,13_hand,iɕu³,iɕu³,i ɕ u ³,,Norman2003,,
Zhenqian-13_hand-1,,Zhenqian,13_hand,siu³,siu³,s i/j u ³,,Norman2003,,
Jianchuan-13_hand-1,,Jianchuan,13_hand,sɯ¹,sɯ¹,s ɯ ¹,,Norman2003,,
Jiangshan-13_hand-1,,Jiangshan,13_hand,tɕʰye³,tɕʰye³,tɕʰ y/ɥ e ³,,Norman2003,,
Common_Chinese-18_heavy-1,,Common_Chinese,18_heavy,*jiuŋ⁴,*jiuŋ⁴,j u ŋ ⁴,,Norman2003,,
Beijing-18_heavy-1,,Beijing,18_heavy,tʂuŋ³,tʂuŋ³,ʈʂ u ŋ ³,,Norman2003,,
Suzhou-18_heavy-1,,Suzhou,18_heavy,zoŋ⁶,zoŋ⁶,z o ŋ ⁶/¹¹,,Norman2003,,
Nanchang-18_heavy-1,,Nanchang,18_heavy,tsʰuŋ⁶,tsʰuŋ⁶,tsʰ u ŋ ⁶/¹¹,,Norman2003,,
Meixian-18_heavy-1,,Meixian,18_heavy,tsʰuŋ¹,tsʰuŋ¹,tsʰ u ŋ ¹,,Norman2003,,
Guangzhou-18_heavy-1,,Guangzhou,18_heavy,tsʰuŋ⁴,tsʰuŋ⁴,tsʰ u ŋ ⁴,,Norman2003,,
Jiangyong-18_heavy-1,,Jiangyong,18_heavy,tɕiaŋ⁴,tɕiaŋ⁴,tɕ i/j a ŋ ⁴,,Norman2003,,
Heping-18_heavy-1,,Heping,18_heavy,hn̍ʔ⁴,hn̍ʔ⁴,h n̩ ʔ ⁴,,Norman2003,,
Zhenqian-18_heavy-1,,Zhenqian,18_heavy,toŋ⁶,toŋ⁶,t o ŋ ⁶/¹¹,,Norman2003,,
Jianchuan-18_heavy-1,,Jianchuan,18_heavy,tsṽ¹,tsṽ¹,ts ṽ̩ ¹,,Norman2003,,
Jiangshan-18_heavy-1,,Jiangshan,18_heavy,dʑiuŋ⁴,dʑiuŋ⁴,dʑ i/j u ŋ ⁴,,Norman2003,,
Common_Chinese-25_laugh-1,,Common_Chinese,25_laugh,*siau⁸,*siau⁸,s i/j au ⁸/³³,,Norman2003,,
Beijing-25_laugh-1,,Beijing,25_laugh,ɕiau⁵,ɕiau⁵,ɕ i/j au ⁵,,Norman2003,,
Suzhou-25_laugh-1,,Suzhou,25_laugh,siæ⁵,siæ⁵,s i/j æ ⁵,,Norman2003,,
Nanchang-25_laugh-1,,Nanchang,25_laugh,ɕiεu⁵,ɕiεu⁵,ɕ i/j εu ⁵,,Norman2003,,
Meixian-25_laugh-1,,Meixian,25_laugh,siau⁵,siau⁵,s i/j au ⁵,,Norman2003,,
Guangzhou-25_laugh-1,,Guangzhou,25_laugh,siu⁵,siu⁵,s i/j u ⁵,,Norman2003,,
Jiangyong-25_laugh-1,,Jiangyong,25_laugh,siu⁵,siu⁵,s i/j u ⁵,,Norman2003,,
Heping-25_laugh-1,,Heping,25_laugh,sieu⁵,sieu⁵,s i/j eu ⁵,,Norman2003,,
Zhenqian-25_laugh-1,,Zhenqian,25_laugh,sio⁵,sio⁵,s i/j o ⁵,,Norman2003,,
Jianchuan-25_laugh-1,,Jianchuan,25_laugh,so³,so³,s o ³,,Norman2003,,
Jiangshan-25_laugh-1,,Jiangshan,25_laugh,tɕʰiau⁵,tɕʰiau⁵,tɕʰ i/j au ⁵,,Norman2003,,
Common_Chinese-4_liver-1,,Common_Chinese,4_liver,*kon¹,*kon¹,k o n ¹,,Norman2003,,
Beijing-4_liver-1,,Beijing,4_liver,kan¹,kan¹,k a n ¹,,Norman2003,,
Suzhou-4_liver-1,,Suzhou,4_liver,kø̃¹,kø̃¹,k ø̃ ¹,,Norman2003,,
Nanchang-4_liver-1,,Nanchang,4_liver,kon¹,kon¹,k o n ¹,,Norman2003,,
Meixian-4_liver-1,,Meixian,4_liver,kon¹,kon¹,k o n ¹,,Norman2003,,
Guangzhou-4_liver-1,,Guangzhou,4_liver,kon¹,kon¹,k o n ¹,,Norman2003,,
Jiangyong-4_liver-1,,Jiangyong,4_liver,kaŋ¹,kaŋ¹,k a ŋ ¹,,Norman2003,,
Heping-4_liver-1,,Heping,4_liver,hon¹,hon¹,h o n ¹,,Norman2003,,
Zhenqian-4_liver-1,,Zhenqian,4_liver,huaiŋ¹,huaiŋ¹,h u/w ai ŋ ¹,,Norman2003,,
Jianchuan-4_liver-1,,Jianchuan,4_liver,kã²,kã²,k ã ²,,Norman2003,,
Jiangshan-4_liver-1,,Jiangshan,4_liver,kɔŋ¹,kɔŋ¹,k ɔ ŋ ¹,,Norman2003,,
Common_Chinese-10_long-1,,Common_Chinese,10_long,*jioŋ²,*jioŋ²,j o ŋ ²,,Norman2003,,
Beijing-10_long-1,,Beijing,10_long,tʂʰaŋ²,tʂʰaŋ²,ʈʂʰ a ŋ ²,,Norman2003,,
Suzhou-10_long-1,,Suzhou,10_long,zaŋ²,zaŋ²,z a ŋ ²,,Norman2003,,
Nanchang-10_long-1,,Nanchang,10_long,tsʰoŋ²,tsʰoŋ²,tsʰ o ŋ ²,,Norman2003,,
Meixian-10_long-1,,Meixian,10_long,tsʰoŋ²,tsʰoŋ²,tsʰ o ŋ ²,,Norman2003,,
Guangzhou-10_long-1,,Guangzhou,10_long,tsʰœŋ²,tsʰœŋ²,tsʰ œ ŋ ²,,Norman2003,,
Jiangyong-10_long-1,,Jiangyong,10_long,tɕiaŋ²,tɕiaŋ²,tɕ i/j a ŋ ²,,Norman2003,,
Heping-10_long-1,,Heping,10_long,hoŋ²,hoŋ²,h o ŋ ²,,Norman2003,,
Zhenqian-10_long-1,,Zhenqian,10_long,tauŋ⁹,tauŋ⁹,t au ŋ ⁹/⁴⁴,,Norman2003,,
Jianchuan-10_long-1,,Jianchuan,10_long,tsõ⁸,tsõ⁸,ts õ ⁸/³³,,Norman2003,,
Jiangshan-10_long-1,,Jiangshan,10_long,tʰœ̃²,tʰœ̃²,tʰ œ̃ ²,,Norman2003,,
Common_Chinese-40_mat-1,,Common_Chinese,40_mat,*ziak⁸,*ziak⁸,z i/j a k ⁸/³³,,Norman2003,,
Beijing-40_mat-1,,Beijing,40_mat,ɕi²,ɕi²,ɕ i ²,,Norman2003,,
Suzhou-40_mat-1,,Suzhou,40_mat,ziɪʔ⁸,ziɪʔ⁸,z iɪ ʔ ⁸/³³,,Norman2003,,
