ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan
Common_Chinese-33_bamboo-1,,Common_Chinese,33_bamboo,*ciuk⁷,*ciuk⁷,ʈʂ i/j u k ⁷/²²,,Norman2003,,
Beijing-33_bamboo-1,,Beijing,33_bamboo,tʂu²,tʂu²,ʈʂ u ²,,Norman2003,,
Suzhou-33_bamboo-1,,Suzhou,33_bamboo,tsoʔ⁷,tsoʔ⁷,ts o ʔ ⁷/²²,,Norman2003,,
Nanchang-33_bamboo-1,,Nanchang,33_bamboo,tsuk⁷,tsuk⁷,ts u k ⁷/²²,,Norman2003,,
Meixian-33_bamboo-1,,Meixian,33_bamboo,tsuk⁷,tsuk⁷,ts u k ⁷/²²,,Norman2003,,
Guangzhou-33_bamboo-1,,Guangzhou,33_bamboo,tsuk⁷,tsuk⁷,ts u k ⁷/²²,,Norman2003,,
Jiangyong-33_bamboo-1,,Jiangyong,33_bamboo,liou⁷,liou⁷,l i/j ou ⁷/²²,,Norman2003,,
Heping-33_bamboo-1,,Heping,33_bamboo,ty⁷,ty⁷,t y ⁷/²²,,Norman2003,,
Zhenqian-33_bamboo-1,,Zhenqian,33_bamboo,ty³,ty³,t y ³,,Norman2003,,
Jianchuan-33_bamboo-1,,Jianchuan,33_bamboo,kε⁴,kε⁴,k ε ⁴,,Norman2003,,
Jiangshan-33_bamboo-1,,Jiangshan,33_bamboo,taʔ⁷,taʔ⁷,t a ʔ ⁷/²²,,Norman2003,,
Common_Chinese-31_blood-1,,Common_Chinese,31_blood,*hiot⁷,*hiot⁷,h i/j o t ⁷/²²,,Norman2003,,
Beijing-31_blood-1,,Beijing,31_blood,ɕiε³,ɕiε³,ɕ i/j ε ³,,Norman2003,,
Suzhou-31_blood-1,,Suzhou,31_blood,ɕyɤʔ⁷,ɕyɤʔ⁷,ɕ y/ɥ ɤ ʔ ⁷/²²,,Norman2003,,
Nanchang-31_blood-1,,Nanchang,31_blood,ɕyot⁷,ɕyot⁷,ɕ y/ɥ o t ⁷/²²,,Norman2003,,
Meixian-31_blood-1,,Meixian,31_blood,hiat⁷,hiat⁷,h i/j a t ⁷/²²,,Norman2003,,
Guangzhou-31_blood-1,,Guangzhou,31_blood,hyt⁷,hyt⁷,h y t ⁷/²²,,Norman2003,,
Jiangyong-31_blood-1,,Jiangyong,31_blood,ɕy⁷,ɕy⁷,ɕ y ⁷/²²,,Norman2003,,
Heping-31_blood-1,,Heping,31_blood,fæ⁷,fæ⁷,f æ ⁷/²²,,Norman2003,,
Zhenqian-31_blood-1,,Zhenqian,31_blood,huai³,huai³,h u/w ai ³,,Norman2003,,
Jianchuan-31_blood-1,,Jianchuan,31_blood,sua⁵,sua⁵,s u/w a ⁵,,Norman2003,,
Jiangshan-31_blood-1,,Jiangshan,31_blood,xyεʔ⁷,xyεʔ⁷,x y/ɥ ε ʔ ⁷/²²,,Norman2003,,
Common_Chinese-22_broken-1,,Common_Chinese,22_broken,*pho⁵,*pho⁵,pʰ o ⁵,,Norman2003,,
Beijing-22_broken-1,,Beijing,22_broken,pʰuo⁵,pʰuo⁵,pʰ u/w o ⁵,,Norman2003,,
Suzhou-22_broken-1,,Suzhou,22_broken,pʰu⁵,pʰu⁵,pʰ u ⁵,,Norman2003,,
Nanchang-22_broken-1,,Nanchang,22_broken,pʰo⁵,pʰo⁵,pʰ o ⁵,,Norman2003,,
Meixian-22_broken-1,,Meixian,22_broken,pʰo⁵,pʰo⁵,pʰ o ⁵,,Norman2003,,
Guangzhou-22_broken-1,,Guangzhou,22_broken,pʰo⁵,pʰo⁵,pʰ o ⁵,,Norman2003,,
Jiangyong-22_broken-1,,Jiangyong,22_broken,pʰu⁵,pʰu⁵,pʰ u ⁵,,Norman2003,,
Heping-22_broken-1,,Heping,22_broken,pʰai⁵,pʰai⁵,pʰ ai ⁵,,Norman2003,,
Zhenqian-22_broken-1,,Zhenqian,22_broken,pʰua⁵,pʰua⁵,pʰ u/w a ⁵,,Norman2003,,
Jianchuan-22_broken-1,,Jianchuan,22_broken,pʰo³,pʰo³,pʰ o ³,,Norman2003,,
Jiangshan-22_broken-1,,Jiangshan,22_broken,pʰai⁵,pʰai⁵,pʰ ai ⁵,,Norman2003,,
Common_Chinese-3_chicken-1,,Common_Chinese,3_chicken,*kiai¹,*kiai¹,k i/j ai ¹,,Norman2003,,
Beijing-3_chicken-1,,Beijing,3_chicken,tɕi¹,tɕi¹,tɕ i ¹,,Norman2003,,
Suzhou-3_chicken-1,,Suzhou,3_chicken,tɕi¹,tɕi¹,tɕ i ¹,,Norman2003,,
Nanchang-3_chicken-1,,Nanchang,3_chicken,tɕi¹,tɕi¹,tɕ i ¹,,Norman2003,,
Meixian-3_chicken-1,,Meixian,3_chicken,kε¹,kε¹,k ε ¹,,Norman2003,,
